2017/06/24 | 10:29:57 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:29:57 | INFO | nyxsys is now online.
2017/06/24 | 10:30:06 | INFO | nyxsys is now offline.
2017/06/24 | 10:30:06 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:30:06 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:30:06 | INFO | nyxsys is now online.
2017/06/24 | 10:33:40 | INFO | Starting system.
2017/06/24 | 10:33:40 | INFO | Initializing system components.
2017/06/24 | 10:33:40 | INFO | Attempting to connect to the database.
2017/06/24 | 10:33:40 | INFO | System initialization completed.
2017/06/24 | 10:33:40 | INFO | Database connection success.
2017/06/24 | 10:33:45 | WARN | Issuing page refresh command to socket ID:OU73bQFzeF0RtaYRAAAA REASON : User not found in active sessions
2017/06/24 | 10:33:48 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:33:48 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:33:48 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:33:48 | INFO | nyxsys is now online.
2017/06/24 | 10:33:57 | INFO | nyxsys is now offline.
2017/06/24 | 10:33:57 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:33:57 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:33:57 | INFO | nyxsys is now online.
2017/06/24 | 10:43:39 | INFO | Starting system.
2017/06/24 | 10:43:39 | INFO | Initializing system components.
2017/06/24 | 10:43:39 | INFO | Attempting to connect to the database.
2017/06/24 | 10:43:39 | INFO | System initialization completed.
2017/06/24 | 10:43:39 | INFO | Database connection success.
2017/06/24 | 10:43:42 | WARN | Issuing page refresh command to socket ID:L1yHv1NPctlEf5MKAAAA REASON : User not found in active sessions
2017/06/24 | 10:43:45 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:43:45 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:43:45 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:43:45 | INFO | nyxsys is now online.
2017/06/24 | 10:43:55 | INFO | nyxsys is now offline.
2017/06/24 | 10:43:55 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:43:55 | AUTH | nyxsys Authenticated from 127.0.0.1
2017/06/24 | 10:43:55 | INFO | nyxsys is now online.
2017/06/24 | 10:46:58 | INFO | Starting system.
2017/06/24 | 10:46:58 | INFO | Initializing system components.
2017/06/24 | 10:46:58 | INFO | Attempting to connect to the database.
2017/06/24 | 10:46:58 | INFO | System initialization completed.
2017/06/24 | 10:46:58 | INFO | Database connection success.
2017/06/24 | 10:47:00 | WARN | Issuing page refresh command to socket ID:jWZziGlwNLg_JBFpAAAA REASON : User not found in active sessions
2017/06/24 | 10:47:02 | INFO | nyxsys logged in to the system from ::ffff:127.0.0.1
2017/06/24 | 10:47:03 | AUTH | Administrator nyxsys connected from 127.0.0.1
2017/06/24 | 10:47:03 | AUTH | nyxsys Authenticated from 127.0.0.1
